id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
74,VUQ,海口,haikou,hk,2501,海口,cn,中国,110.162116,20.027324,amap,2026-04-09 05:58:03.554093+00:00,2026-04-08 08:39:59.318595+00:00,2026-04-09 05:58:03.554093+00:00
75,HGH,杭州东,hangzhoudong,hzd,0904,杭州,cn,中国,,,amap,2026-04-09 05:17:13.983409+00:00,2026-04-08 08:39:59.318934+00:00,2026-04-09 05:17:13.983409+00:00
76,HZH,杭州,hangzhou,hz,0904,杭州,cn,中国,120.18286,30.243482,amap,2026-04-09 05:58:05.573307+00:00,2026-04-08 08:39:59.319231+00:00,2026-04-09 05:58:05.573307+00:00
77,XHH,杭州南,hangzhounan,hzn,0904,杭州,cn,中国,120.295589,30.17264,amap,2026-04-09 05:58:06.576649+00:00,2026-04-08 08:39:59.319698+00:00,2026-04-09 05:58:06.576649+00:00
78,JNK,济南,jinan,jn,0602,济南,cn,中国,116.990536,36.671528,amap,2026-04-09 05:58:07.588367+00:00,2026-04-08 08:39:59.320783+00:00,2026-04-09 05:58:07.588367+00:00
79,MDK,济南东,jinandong,jnd,0602,济南,cn,中国,117.159918,36.747892,amap,2026-04-09 05:58:08.600124+00:00,2026-04-08 08:39:59.321204+00:00,2026-04-09 05:58:08.600124+00:00
80,JGK,济南西,jinanxi,jnx,0602,济南,cn,中国,116.891331,36.668846,amap,2026-04-09 05:58:09.589827+00:00,2026-04-08 08:39:59.321600+00:00,2026-04-09 05:58:09.589827+00:00
81,KMM,昆明,kunming,km,1902,昆明,cn,中国,102.722277,25.015257,amap,2026-04-09 05:58:10.599607+00:00,2026-04-08 08:39:59.321993+00:00,2026-04-09 05:58:10.599607+00:00
82,KOM,昆明南,kunmingnan,kmn,1902,昆明,cn,中国,102.86087,24.869978,amap,2026-04-09 05:58:11.616088+00:00,2026-04-08 08:39:59.322354+00:00,2026-04-09 05:58:11.616088+00:00
83,VHK,历城,licheng,lc,0602,济南,cn,中国,117.207035,36.666343,amap,2026-04-09 05:58:12.609893+00:00,2026-04-08 08:39:59.322785+00:00,2026-04-09 05:58:12.609893+00:00
84,ULK,蔺家楼,linjialou,ljl,0602,济南,cn,中国,117.568701,36.245846,amap,2026-04-09 05:58:13.617227+00:00,2026-04-08 08:39:59.323177+00:00,2026-04-09 05:58:13.617227+00:00
85,UQJ,龙泉寺,longquansi,lqs,2102,兰州,cn,中国,104.282585,35.594083,amap,2026-04-09 05:58:14.625101+00:00,2026-04-08 08:39:59.323551+00:00,2026-04-09 05:58:14.625101+00:00
86,LSO,拉萨,lasa,ls,2751,拉萨,cn,中国,91.070434,29.623017,amap,2026-04-09 05:58:15.641665+00:00,2026-04-08 08:39:59.327049+00:00,2026-04-09 05:58:15.641665+00:00
87,LUM,乐善村,leshancun,lsc,1902,昆明,cn,中国,103.151531,25.023546,amap,2026-04-09 05:58:16.645941+00:00,2026-04-08 08:39:59.327554+00:00,2026-04-09 05:58:16.645941+00:00
88,LBT,林盛堡,linshengpu,lsp,0205,沈阳,cn,中国,123.363142,41.578602,amap,2026-04-09 05:58:17.658324+00:00,2026-04-08 08:39:59.327989+00:00,2026-04-09 05:58:17.658324+00:00
89,LTJ,骆驼巷,luotuoxiang,ltx,2102,兰州,cn,中国,104.049026,36.026345,amap,2026-04-09 05:58:18.671497+00:00,2026-04-08 08:39:59.328390+00:00,2026-04-09 05:58:18.671497+00:00
90,VIK,莱芜北,laiwubei,lwb,0602,济南,cn,中国,117.706057,36.281581,amap,2026-04-09 05:58:19.665361+00:00,2026-04-08 08:39:59.328768+00:00,2026-04-09 05:58:19.665361+00:00
91,LVJ,兰州东,lanzhoudong,lzd,2102,兰州,cn,中国,103.892496,36.02963,amap,2026-04-09 05:58:20.682955+00:00,2026-04-08 08:39:59.329145+00:00,2026-04-09 05:58:20.682955+00:00
92,LZJ,兰州,lanzhou,lz,2102,兰州,cn,中国,103.850337,36.034476,amap,2026-04-09 05:58:21.678000+00:00,2026-04-08 08:39:59.329588+00:00,2026-04-09 05:58:21.678000+00:00
93,LQJ,兰州新区,lanzhouxinqu,lzxq,2102,兰州,cn,中国,103.619028,36.470003,amap,2026-04-09 05:58:22.673786+00:00,2026-04-08 08:39:59.330005+00:00,2026-04-09 05:58:22.673786+00:00
94,LAJ,兰州西,lanzhouxi,lzx,2102,兰州,cn,中国,103.752106,36.068819,amap,2026-04-09 05:58:23.664422+00:00,2026-04-08 08:39:59.330404+00:00,2026-04-09 05:58:23.664422+00:00
95,MOM,茂舍祖,maoshezu,msz,1902,昆明,cn,中国,103.417434,24.857198,amap,2026-04-09 05:58:24.688330+00:00,2026-04-08 08:39:59.330760+00:00,2026-04-09 05:58:24.688330+00:00
96,NUG,南昌东,nanchangdong,ncd,1104,南昌,cn,中国,116.020724,28.613654,amap,2026-04-09 05:58:25.677687+00:00,2026-04-08 08:39:59.331186+00:00,2026-04-09 05:58:25.677687+00:00
97,NCG,南昌,nanchang,nc,1104,南昌,cn,中国,115.919876,28.661832,amap,2026-04-09 05:58:26.677999+00:00,2026-04-08 08:39:59.331567+00:00,2026-04-09 05:58:26.677999+00:00
